카카오위치명,위도,경도,인스타위치명
모란역 8호선,37.4340382896277,127.129970457799,모란역
오도우,35.13775580594193,129.09789476891402,카페 오도
무공간,37.3442923671442,127.14139009223,무공간
라이프스퀘어,37.54791496083834,127.04413316712,성수동 라이프
에버랜드,37.293101115700345,127.20219830178264,경기도 용인
죠지서울,37.566009502639176,126.99120292479806,죠지서울
모란민속장,37.428671209024,127.127236048931,모란
청담류,37.5225168463569,127.041100065057,류돈
야탑역 수인분당선,37.4113736407028,127.128742990837,야탑역
복래양꼬치 모란2호점,37.4330157951334,127.13226461999,복래양꼬치
성남동성당,37.42856639672921,127.13161957329523,성남동 (성남시)
코로나19 탄천종합운동장 임시선별검사소,37.411570659814494,127.12048282073114,탄천로
툭골지,36.2923419114279,127.046176243403,탄천
피어몬트,37.42876980883104,127.12603182434884,피어몬트
스트라이크존 서울강남역구장,37.4992609172713,127.025485625667,스크린야구
도넛박스,37.4286007380731,127.125731008641,도넛박스
신구대학교식물원,37.434521776864386,127.08086767385282,경기도 성남
1943 모란점,37.4323910221831,127.130161948519,모란 1943
성남볼링센타,37.4372527885124,127.126952268653,성남 AMF 볼링센터
독일마을,34.80007258001897,128.03855022577358,경상도
분당정자동카페골목,37.370150892237,127.10613880132,분당구
금복주류 강남역점,37.5002485099401,127.025065266546,금복주류
북한산둘레길 구름정원길8구간,37.62612118319853,126.93626843562683,서울
누룩,37.43111592668751,127.13112012026428,모란누룩
빨강물고기,37.4317837580786,127.131769829582,빨강물고기
모란주점,37.43185363864079,127.13212699081208,모란주점
모란고개,37.4360257938192,127.128446226325,수정구 수진동
어라운드데이,37.54686182777454,127.04126958888213,어라운드데이
군산열쇠,35.9647379360932,126.716407018843,Loop
금련산역 부산2호선,35.14969257761234,129.11096146101232,금련산역
아워유어커피베이커리,37.4333466880942,127.129625774823,"Our,ur - 아워유어"
솔뫼성지,36.8202720226268,126.786202307818,충남 당진
섭지코지,33.4239380655993,126.930609241011,제주도 섭지코지
오거리당구장,37.4324474425558,127.131287405055,모란 오거리
저스트텐동 모란역점,37.4327411174158,127.129706082095,저스트텐동 모란역점
무무,37.432121862743,127.132376034423,모란무무
우리집갈비,37.7642277508782,126.773477177401,우리집♡
바다회센터,38.0698095613521,127.52255610781,바다회센터
김범준트레이닝센터,37.41822644885951,127.12739234499654,김범준트레이닝센터
유성농장,36.8612346494846,127.254834275921,관광농원유성농장
셀럽클럽,35.151227062799,128.115564421351,셀럽클럽
육값어치,37.4320256059927,127.132240280276,육값어치성남점
무지개네일 모란점,37.4302649614729,127.129855468684,무지개네일
모손카페,37.4304403303669,127.127676294414,모손
시흥배곧신도시호반베르디움센트럴파크아파트,37.37444621363425,126.72699245516932,배곧신도시
팔당역 경의중앙선,37.5473594340956,127.243966151989,팔당역
등갈비달인 모란점,37.43245427371,127.13162638052,모란 등갈비의 달인
서울식물원,37.5693958477101,126.835037244018,서울식물원
청량산도립공원,36.7972762921983,128.921037485201,봉화
신천역 서해선,37.43924604520613,126.78678508124932,서해선 신천역
서울포차,37.5395068453154,127.126451062237,서울포차
세가지,37.4293214826072,127.12579548459,3egaji
스카이뷰휘트니스 2호점,37.4302885044703,127.129749303835,스카이뷰 휘트니스2호점
이천산수유마을,37.3407759344926,127.46229723618227,경기도 이천
오지힐 제주점,33.3626635156894,126.193542396231,오지힐제주
포도뮤지엄,33.3192727556025,126.385969459857,포도뮤지엄
조주방,37.4324614616908,127.131644471164,조주방
모란왕족발 본점,37.432430651874,127.130175575678,모란왕족발
카페자트,37.4322652262983,127.126523531125,Satt
구로디지털단지역 2호선,37.4852605752505,126.901473080039,구로디지털단지
소우주,35.6794238077942,128.711766101023,소우주
로미하우스,34.7413755138087,127.739203175171,로미하우스
야탑역광장,37.4118319368872,127.128210618758,성남 분당 야탑
대부도,37.246138589609,126.596768094707,경기도 안산
단대오거리역 8호선,37.44502248894697,127.156769790167,단대오거리역
찬스짐,37.512717135162745,126.9446784848914,찬스짐
스튜디오 듀이,37.4413244557855,127.146445069527,스튜디오듀이
삽다리곱창,37.4325608550721,127.129760005293,삽다리 곱창
스타필드시티 위례,37.48011055297601,127.14840204005722,위례스타필드
애림식물원,37.4216763672599,127.167225206911,도촌동
익산미륵사지,36.0124162512757,127.031276915824,익산
모랩스튜디오카페,37.5546210388395,126.912223720905,모랩 스튜디오
그림제작소,37.5111369537619,127.107387745023,그림제작소
석촌호수 서호,37.5076807262772,127.099112837006,잠실
도넛드로잉,37.3526306443227,127.100734834548,도넛드로잉
이화여자대학교,37.562544705628845,126.94765009467245,이화여자대학교 Ewha Womans University
형제들감자탕,37.517558216692,126.908434778845,형제들감자탕
카메,37.4128348054094,127.256212124962,카메
모퉁,37.45317655151276,127.12765503086565,Motoong
총각네횟집,37.6235342764076,127.153140719642,총각네회집
비주류,37.4319416548609,127.132380236561,모란비주류
한강,37.5250892160129,126.947545050571,여의도
히사,37.4322460140893,127.133345686063,모란 히사
서울숲카페거리,37.5464440372535,127.043028992489,성수동
스타벅스 성남모란DT점,37.4292121881325,127.133438599909,스타벅스 모란DT점
리치카페,37.43272311572971,127.1296891027955,리치카페
별림당,37.432408323247,127.134030679891,별림당
참사랑해,37.53946148702501,127.14104269523959,사랑해♥
카페아일랜드,37.4326328712051,127.159290698524,카페아일랜드
돌판구이풍경,37.4402877059449,127.123264567646,풍경 돌판구이
광양시티프라자,34.9353934053293,127.694425956102,광양시티프라자
카페 정순,37.431429389603345,127.13281546157693,카페정순
용산가족공원,37.5217984491514,126.983574610978,용산공원
그라운드시소 서촌,37.5778385914657,126.972916300185,그라운드시소 서촌
SETEC,37.4959006734666,127.072196986216,SETEC 세텍
오렌즈 성남모란점,37.4323787310987,127.12986815913,오렌즈 성남모란점
의재미술관,35.1293889058934,126.967462562062,의재미술관
내셔널트러스트 문화유산기금,37.592978381264125,127.00034874892293,내셔널트러스트 문화유산기금
맛찬들왕소금구이 성남모란점,37.4312554204404,127.130453745917,맛찬들 왕소금구이 모란점
성남센트럴푸르지오시티오피스텔,37.435517310355614,127.13830394834444,성남센트럴푸르지오시티
영장산,37.45393615592939,127.13803044139628,복정동
기아 위례지점,37.46479530704159,127.14170261126064,"위례, Wirye"
김과장고깃집,37.4415029150309,127.144935718194,김과장고깃집
언오디너리,37.5655256403887,126.990843041938,언오디너리
